16134824,10,분노의 질주: 홉스&쇼,또보고싶은영화분노의 질주매니아인데 돔이 안나와 걱정했지만 그래도 역시 분노의질주 짱 ,haes****,19.09.10
16134823,8,봉오동 전투,배우들의 연기력에 박수를 보냅니다 ,haes****,19.09.10
16134822,6,엑시트,SoSo재미없지도 않고 있지도 않고 무난하게 보고왔어여 ,haes****,19.09.10
16134821,7,진범,범인을 예상하면서 보는내내 반전이 있을까했지만..역시나 예상한 범인이라 조금 실망..그래도 볼만은했음 ,ange****,19.09.10
16134820,10,그것: 두 번째 이야기,재밌지만 방광은 터질뻔한 영화 ,jkkm****,19.09.10
16134819,2,그것: 두 번째 이야기,기대만큼이나 실망도 컸던영화 돈주고 다시보라고해도 사양한다 ,dbwl****,19.09.10
16134818,10,커런트 워,천재들의 치열한 싸움이 훌륭한 배우들의 연기와 멋진 연출로 한층 돋보였습니다. 우리는 우리도 모르는 사이 천재들이 남긴 업적을 매일 누리고 살아가고 있군요. 멋진 영화 감사합니다. ,jieu****,19.09.10
16134817,10,기생충,영화 진짜 잘 만든다..예전엔 연기자들의 주옥 같은 연기가 영화에 힘을 실어줬다면..이젠 영화 그 자체에 연기자들이 자연스레 녹아든 것 같다. 이게 정말..작품이라 말할 수 있지 않을까? ,rlar****,19.09.10
16134816,10,"스탠바이, 웬디",아니이거 줄거리누가씀??? ,newt****,19.09.10
16134815,10,정글,실화라는거에 소름.. 칼과 마커스에겐 무슨 일이있었을까.. 첨부터 끝까지 몰입감 있게 푹 빠져본 영화..진심 최고다 ,njm3****,19.09.10
16134814,8,엑시트,너무너무 재미있습니다 ,hail****,19.09.10
16134813,10,봉오동 전투,자신의 목숨을 아끼지 않고 독립을 위해 싸우고 희생 당하신 선조들의 위대함에 감동했어요. 기대했던 것 이상의 훌륭한 영화입니다 ,sulj****,19.09.10
16134812,10,유열의 음악앨범,아주 빵빵터지고 커다란 사건이 없는 잔잔한 영화지만 몇년 뒤 우연히 또 보고싶은 영화입니다.  개연성 부분은 오히려 관객들에게 상상할 수 있는 여지를 남겨줘 좋았습니다. 적재적소의 노래와 영상에 행복했습니다. 여운이 많이 남아요. ,joeu****,19.09.10
16134811,10,아버지의 깃발,아니 전쟁영화가 이렇게 깊고도 잔잔한 여운을 줄 수 있는거냐 ,free****,19.09.10
16134809,10,사자,점잼나게봤어요~^&♥ ,happ****,19.09.10
16134808,8,엑시트,보는 내내 손에서 계속 땀났음 긴장감 장난아님 근데 초반에 일 터지기 전엔 조금 지루했음 ,jcru****,19.09.10
16134806,1,엑시트,다들 알바냐? 라는 말을 처음 해본다 진심~~  윤아의 개발새발 연기력을 극찬하는 알바생들에게 속지마시라~ ,rati****,19.09.10
16134805,7,아이덴티티,끝까지 긴장을 늦추지말 것 ,phea****,19.09.10
16134804,2,유열의 음악앨범,"한줄평: 에미야 국이 싱겁다1. 스토리의 개연성이 없다.2. 응답하라처럼 레트로 한거같은데 와닿는게없다 3. 등장인물들 (식당 언니, 김고은 회사 대표) 인물들이 의미하는 바가 뭐죠..? 결론: 정해인은 잘생겼따 :) ",pia9****,19.09.10
16134803,1,오목소녀,이런영화는 순수 감독 돈으로만 들겠죠?걷기왕 보다가 졸았는데 오목소녀 보다가 한심한 뉴스를 선택했습니다 ,seun****,19.09.10
16134802,6,슈퍼배드,귀여운 미니언즈의 반란 ,phea****,19.09.10
16134801,7,코렐라인: 비밀의 문,호러틱한 동화속으로. ,phea****,19.09.10
16134800,2,유열의 음악앨범,연인끼리 볼 달달한 영화를 생각한다면 비추 ,yub1****,19.09.10
16134799,8,블라인드 멜로디,스릴도 있고 반전도 있고 저는 재미있게 잘봤습니다 ,yunm****,19.09.10
16134798,6,조 블랙의 사랑,"안소니 홉킨스의 연기는 좋았고, 브래드 피트는 정말 잘생겼다. 딱 이것 말고는 없다. 3시간이나 되는 러닝 타임을 버티게 만드는 브래드 피트의 외모는 정말이지 대단. 하지만 굳이 3시간이나 들일 필요가 있었을까 의문이 드는 건 어쩔 수 없다. ",laug****,19.09.10
16134797,8,엑시트,볼만했음 ㅋ 근데 윤아 연기 좀 연습해야겠더라..늘긴했는데 아직 좀 ; ,hoji****,19.09.10
16134796,2,엑시트,이딴 영화가 평점 9점에 관객수 920만명...? 나비효과 메멘토 인셉션이랑 평점이 비슷한거보니까 대한민국 개돼지놈들 수준을 알겠닼ㅋㅋ왈왈 멍멍 ,dbtj****,19.09.10
16134795,1,갈까부다,무려 18살이나~ 연하인 여자친구 잡으려고(결혼) 아예 못을 박아버리네 다큐멘터리는 핑계고.. 정도껏 차이나야지 ,t820****,19.09.10
16134794,9,엑시트,보는 내내 전혀 지루하지 않았다. 그럼 잘만든 영화 아닌가? ,pres****,19.09.10
16134793,6,엑시트,요즘 세상 많이 변했구나 영화가 참 ,kimg****,19.09.10
16134792,9,변신,1점 뺀건 마무리가 좀 많이 아쉬웠고 재밌게 봤습니다 오랜만억 . 곡성 보는 기분이였어요 ,whdd****,19.09.10
16134791,10,추격자,처음봤을때의 재미와 충격 ,jeue****,19.09.10
16134790,10,엑시트,변신보다 훨씬 재밋음!!! ,soow****,19.09.10
16134789,8,벌새,1994년 전에도 후에도 계속 생겨나는 수많은 은희와 영지들 ,qmff****,19.09.10
16134788,2,변신,진짜 돈날린거 같은 기분? ,soow****,19.09.10
16134787,8,스파이더맨: 파 프롬 홈,Cg가 정말 인상깊었어요 대단행~ ,jh98****,19.09.10
16134786,9,극장판 헬로카봇 : 달나라를 구해줘!,전편인 옴파로스섬의 비밀보다 전개도 빠르고 지루한 부분도 없습니다. 백악기시대보다 노래 부분이 늘어난 것 같은 느낌인인데... 특별히 기억에 남는 노래는 없네요! 그래도 아이들이 재밌게 봐서 만족스러웠습니다 ,eco_****,19.09.10
